The Brothers Biryani point,"Ishani co op soc,Plot no. 14",Restaurant,,
Dwaraka Family Restaurant and bar,"Sector 5, Kalamboli, Panvel, Opp Mahatma Gandhi Mission Hospital",Restaurant,,
Sunrise Restaurant,Shree Apartment,North Indian,,
Punjab da swaad,"build no-10, Kl-5, Shop no-4(a, sec-3E",Restaurant,,
Sarswati bhojanalay,,Indian,,
Hotel Devraj Restaurant And Bar,Shivam Shopping Complex,Gastropub,,
Express Tadka,"Shop No. 8, parivartan co orporative housing society ltd, Plot No 29, Ground Floor, Hotel Venkat Presidency, 410209",Family-friendly,Closed ⋅ Opens 8 am,
Tulja Bhavani Restaurant,09,Restaurant,,
Shagun Pure Veg,"Shop No 19,20, Shree Apartment, opposite Sudhagad",Restaurant,,
McDonald's,"Plot No 13, Ground Floor",Fast Food,Open ⋅ Closes 2 am ⋅ Reopens 6 am,
Hotel Captain Bar & Restaurant,"Ground Floor, Sector 1E, next to MacDonald",Restaurant,,
Hotel Mirchi - Pure Veg,"Shop No.19& 20, Building No, F-12",Vegetarian,,
Hotel Siddhnath,"Shop No.-28-Lig 2, Building No.-01 Roadpali, Kalamboli, Panvel, Complex No.-410218",Restaurant,,
एकवीरा आई ए-१ फेमस चाईनीज कॉर्नर,Kalamboli Flyover,Chinese,,
Hotel Jay Malhar,"1 shop No 2a, A L G, near Hanuman Mandir",Fast Food,,
Kings Chinese,"Shop No 04, Satyamev Chs",Chinese,,
